analysis,scope,count,share,scope_utc
route_fallback_dependency,771,780,0.0016676073682590179,
route_fallback_dependency,188,736,0.0015735372090238937,
route_fallback_dependency,724,724,0.001547881711050678,
route_fallback_dependency,14L,718,0.0015350539620640703,
route_fallback_dependency,117,717,0.0015329160038996357,
route_fallback_dependency,163,704,0.0015051225477619853,
route_fallback_dependency,088,666,0.0014238801375134691,
route_fallback_dependency,52,633,0.001353327518087126,
route_fallback_dependency,314,630,0.0013469136435938223,
route_fallback_dependency,03,625,0.001336223852771649,
route_fallback_dependency,8BUS,618,0.0013212581456206066,
route_fallback_dependency,3,555,0.0011865667812612243,
route_fallback_dependency,990L,538,0.0011502214924658354,
route_fallback_dependency,029,533,0.0011395317016436623,
route_fallback_dependency,51,526,0.0011245659944926197,
route_fallback_dependency,708,525,0.0011224280363281852,
route_fallback_dependency,115,514,0.0010989104965194042,
route_fallback_dependency,09,506,0.001081806831203927,
route_fallback_dependency,767,495,0.0010582892913951459,
route_fallback_dependency,762,488,0.0010433235842441035,
route_fallback_dependency,88,485,0.0010369097097507995,
route_fallback_dependency,701,483,0.0010326337934219304,
route_fallback_dependency,344,464,0.000992012588297672,
route_fallback_dependency,788,462,0.000987736671968803,
route_fallback_dependency,808,445,0.0009513913831734141,
route_fallback_dependency,062,438,0.0009364256760223716,
route_fallback_dependency,211,438,0.0009364256760223716,
route_fallback_dependency,764,436,0.0009321497596935023,
route_fallback_dependency,338,431,0.0009214599688713291,
route_fallback_dependency,663,430,0.0009193220107068944,
route_fallback_dependency,711,425,0.0009086322198847213,
route_fallback_dependency,350,425,0.0009086322198847213,
route_fallback_dependency,706,421,0.0009000803872269827,
route_fallback_dependency,766,417,0.0008915285545692442,
route_fallback_dependency,889,406,0.0008680110147604632,
route_fallback_dependency,763,394,0.0008423555167872475,
route_fallback_dependency,047,386,0.0008252518514717704,
route_fallback_dependency,723,375,0.0008017343116629894,
route_fallback_dependency,772,375,0.0008017343116629894,
route_fallback_dependency,82,373,0.0007974583953341201,
route_fallback_dependency,3NAV,370,0.0007910445208408162,
route_fallback_dependency,981,355,0.0007589751483742966,
route_fallback_dependency,A10,349,0.0007461473993876888,
route_fallback_dependency,071,348,0.0007440094412232541,
route_fallback_dependency,657,334,0.0007140780269211692,
route_fallback_dependency,913,333,0.0007119400687567346,
route_fallback_dependency,541,329,0.000703388236098996,
route_fallback_dependency,247,328,0.0007012502779345614,
route_fallback_dependency,871,328,0.0007012502779345614,
route_fallback_dependency,774,303,0.0006478013238236954,
route_fallback_dependency,106,300,0.0006413874493303915,
route_fallback_dependency,907,295,0.0006306976585082183,
route_fallback_dependency,448,294,0.0006285597003437837,
route_fallback_dependency,14NAV,292,0.0006242837840149144,
route_fallback_dependency,020,280,0.0005986282860416987,
route_fallback_dependency,765,271,0.000579386662561787,
route_fallback_dependency,021,262,0.0005601450390818753,
route_fallback_dependency,73,261,0.0005580070809174406,
route_fallback_dependency,246,258,0.0005515932064241366,
route_fallback_dependency,337,254,0.0005430413737663981,
route_fallback_dependency,710,250,0.0005344895411086596,
route_fallback_dependency,33,245,0.0005237997502864864,
route_fallback_dependency,778,240,0.0005131099594643132,
route_fallback_dependency,074,236,0.0005045581268065747,
route_fallback_dependency,070,228,0.0004874544614910975,
route_fallback_dependency,74,224,0.000478902628833359,
route_fallback_dependency,111,219,0.0004682128380111858,
route_fallback_dependency,311,218,0.00046607487984675114,
route_fallback_dependency,073,217,0.00046393692168231654,
route_fallback_dependency,A70,209,0.00044683325636683943,
route_fallback_dependency,779,206,0.0004404193818735355,
route_fallback_dependency,033,194,0.0004147638839003198,
route_fallback_dependency,056,180,0.0003848324695982349,
route_fallback_dependency,507,177,0.000378418595104931,
route_fallback_dependency,05,175,0.0003741426787760617,
route_fallback_dependency,882,173,0.00036986676244719246,
route_fallback_dependency,980,170,0.00036345288795388853,
route_fallback_dependency,066,170,0.00036345288795388853,
route_fallback_dependency,119,165,0.00035276309713171535,
route_fallback_dependency,905,152,0.00032496964099406505,
route_fallback_dependency,763L,149,0.0003185557665007611,
route_fallback_dependency,107,143,0.0003057280175141533,
route_fallback_dependency,05B,141,0.000301452101185284,
route_fallback_dependency,336,137,0.00029290026852754543,
route_fallback_dependency,892,134,0.00028648639403424156,
route_fallback_dependency,135,131,0.00028007251954093764,
route_fallback_dependency,700,128,0.0002736586450476337,
route_fallback_dependency,49,124,0.00026510681238989513,
route_fallback_dependency,113,121,0.00025869293789659127,
route_fallback_dependency,246P,120,0.0002565549797321566,
route_fallback_dependency,343,117,0.0002501411052388527,
route_fallback_dependency,235,116,0.000248003147074418,
route_fallback_dependency,437,114,0.00024372723074554876,
route_fallback_dependency,72,110,0.00023517539808781023,
route_fallback_dependency,037,110,0.00023517539808781023,
route_fallback_dependency,500,98,0.00020951990011459457,
route_fallback_dependency,100,97,0.0002073819419501599,
route_fallback_dependency,19L,93,0.00019883010929242138,
route_fallback_dependency,702,93,0.00019883010929242138,
route_fallback_dependency,035,89,0.00019027827663468282,
route_fallback_dependency,022,85,0.00018172644397694427,
route_fallback_dependency,720,81,0.0001731746113192057,
route_fallback_dependency,045,80,0.00017103665315477108,
route_fallback_dependency,017,78,0.0001667607368259018,
route_fallback_dependency,795,76,0.00016248482049703252,
route_fallback_dependency,063,74,0.00015820890416816323,
route_fallback_dependency,665,72,0.00015393298783929397,
route_fallback_dependency,L80,70,0.00014965707151042468,
route_fallback_dependency,46B,68,0.00014538115518155541,
route_fallback_dependency,031,68,0.00014538115518155541,
route_fallback_dependency,93,67,0.00014324319701712078,
route_fallback_dependency,3L,65,0.0001389672806882515,
route_fallback_dependency,789,64,0.00013682932252381686,
route_fallback_dependency,334,63,0.00013469136435938223,
route_fallback_dependency,721,63,0.00013469136435938223,
route_fallback_dependency,445,63,0.00013469136435938223,
route_fallback_dependency,504,63,0.00013469136435938223,
route_fallback_dependency,A60,63,0.00013469136435938223,
route_fallback_dependency,042,61,0.00013041544803051294,
route_fallback_dependency,F20,61,0.00013041544803051294,
route_fallback_dependency,705,59,0.00012613953170164367,
route_fallback_dependency,339,53,0.00011331178271503584,
route_fallback_dependency,86,51,0.00010903586638616656,
route_fallback_dependency,506,49,0.00010475995005729728,
route_fallback_dependency,555,48,0.00010262199189286264,
route_fallback_dependency,20L,48,0.00010262199189286264,
route_fallback_dependency,769,47,0.000100484033728428,
route_fallback_dependency,993,44,9.407015923512408e-05,
route_fallback_dependency,P20,44,9.407015923512408e-05,
route_fallback_dependency,34,44,9.407015923512408e-05,
route_fallback_dependency,441,43,9.193220107068945e-05,
route_fallback_dependency,F01,42,8.97942429062548e-05,
route_fallback_dependency,91,37,7.910445208408162e-05,
route_fallback_dependency,L70,36,7.696649391964698e-05,
route_fallback_dependency,051,36,7.696649391964698e-05,
route_fallback_dependency,777,36,7.696649391964698e-05,
route_fallback_dependency,013,35,7.482853575521234e-05,
route_fallback_dependency,L40,35,7.482853575521234e-05,
route_fallback_dependency,A01,34,7.269057759077771e-05,
route_fallback_dependency,078,33,7.055261942634306e-05,
route_fallback_dependency,2,32,6.841466126190843e-05,
route_fallback_dependency,04B,32,6.841466126190843e-05,
route_fallback_dependency,19NAV,30,6.413874493303915e-05,
route_fallback_dependency,L03,30,6.413874493303915e-05,
route_fallback_dependency,349,28,5.9862828604169874e-05,
route_fallback_dependency,046,27,5.7724870439735235e-05,
route_fallback_dependency,L50,27,5.7724870439735235e-05,
route_fallback_dependency,146,26,5.5586912275300596e-05,
route_fallback_dependency,985,19,4.062120512425813e-05,
route_fallback_dependency,218,19,4.062120512425813e-05,
route_fallback_dependency,M30,18,3.848324695982349e-05,
route_fallback_dependency,907L,16,3.4207330630954215e-05,
route_fallback_dependency,L60,14,2.9931414302084937e-05,
route_fallback_dependency,904,13,2.7793456137650298e-05,
route_fallback_dependency,048,12,2.565549797321566e-05,
route_fallback_dependency,081,12,2.565549797321566e-05,
route_fallback_dependency,L05,12,2.565549797321566e-05,
route_fallback_dependency,551,12,2.565549797321566e-05,
route_fallback_dependency,546,11,2.351753980878102e-05,
route_fallback_dependency,L30,11,2.351753980878102e-05,
route_fallback_dependency,908,11,2.351753980878102e-05,
route_fallback_dependency,055,11,2.351753980878102e-05,
route_fallback_dependency,787,10,2.1379581644346385e-05,
route_fallback_dependency,660,9,1.9241623479911746e-05,
route_fallback_dependency,C10,9,1.9241623479911746e-05,
route_fallback_dependency,030,9,1.9241623479911746e-05,
route_fallback_dependency,036,8,1.7103665315477107e-05,
route_fallback_dependency,049,7,1.4965707151042468e-05,
route_fallback_dependency,913L,7,1.4965707151042468e-05,
route_fallback_dependency,G50,6,1.282774898660783e-05,
route_fallback_dependency,M03,6,1.282774898660783e-05,
route_fallback_dependency,8,6,1.282774898660783e-05,
route_fallback_dependency,G70,5,1.0689790822173192e-05,
route_fallback_dependency,057,4,8.551832657738554e-06,
route_fallback_dependency,059,4,8.551832657738554e-06,
route_fallback_dependency,509,3,6.413874493303915e-06,
route_fallback_dependency,424,1,2.1379581644346384e-06,
route_fallback_dependency,032,1,2.1379581644346384e-06,
