bus_line,direction,stop_count,route_length_km,avg_inter_stop_distance_km,mean_distance_from_center_km,max_distance_from_center_km
211,direction_0,27,7.424557151827797,0.2855598904549153,5.703845595698617,6.489066037332443
211,direction_1,28,7.409062752283991,0.27440973156607373,5.73030943480905,6.47001533072264
C2,direction_0,23,21.66467576729659,0.9847579894225724,10.869975141415793,13.864937623588606
C2,direction_1,18,20.59617359670455,1.211539623335562,9.985043016194517,13.690633367535078
62,direction_0,27,7.976114743707971,0.3067736439887681,1.9893191443651357,4.158272794448331
62,direction_1,29,8.39620882475189,0.29986460088399614,1.8893343375566956,4.158272794448331
105,direction_0,42,14.0602250541713,0.3429323183944218,4.488264213242291,7.6759976860136385
766,direction_0,34,9.528632849734711,0.28874644999196086,5.92572461655284,9.37377185276009
766,direction_1,30,8.291722099484035,0.285921451706346,5.255107576179091,8.804909845193588
773,direction_0,32,7.546594013406305,0.2434385165614937,5.857796149828148,8.055958308090608
773,direction_1,30,7.778125027809714,0.26821120785550734,6.1159211123398585,8.00339415952032
81,direction_0,34,9.739244882821907,0.295128632812785,2.36969906370517,4.888060599165474
81,direction_1,44,10.676635937097133,0.24829385900225895,2.257794617588454,5.059864912507796
31,direction_0,46,14.55646842631183,0.32347707614026283,5.1158270069233245,7.832161360356523
31,direction_1,44,14.410419090420623,0.33512602535861924,5.127437652095353,7.804061925191967
38,direction_0,37,10.228666863983717,0.2841296351106588,5.706885330855474,9.940031377261612
38,direction_1,39,10.4558227450736,0.2751532301335158,5.815313346904929,9.940031377261612
05,direction_0,29,7.234375972409679,0.25837057044320283,24.913929067702746,26.677806992354178
05,direction_1,27,7.019346587672434,0.2699748687566321,24.83406984676472,26.677806992354178
542,direction_0,29,9.609058696280732,0.3431806677243118,5.599532857620036,7.252115057654583
542,direction_1,29,9.393854806687209,0.33549481452454316,5.654073591131056,7.235366222093231
551,direction_0,13,4.400190499330955,0.3666825416109129,12.602232817099981,13.787320383378905
551,direction_1,19,6.415873675358227,0.3564374264087904,13.744027493256143,14.927363094644006
590,direction_0,51,14.00138748995334,0.2800277497990669,3.7768599480270453,8.66605946894308
590,direction_1,45,14.095371349090366,0.32034934884296273,3.744257822126201,8.66605946894308
69,direction_0,29,10.368653608733156,0.37030905745475556,5.39197621330113,8.166699151489425
69,direction_1,28,10.410639117779796,0.3855792265844369,5.476416339680175,8.166699151489425
700,direction_0,10,3.7655825491671764,0.41839806101857513,8.735770566357836,10.781245636809007
700,direction_1,11,4.7430118958745755,0.47430118958745754,9.339758123591077,11.239271557856819
014,direction_0,40,16.020717314289264,0.4107876234433145,21.62053734197842,24.724828537849664
014,direction_1,37,15.925417186553533,0.442372699626487,21.36230977594502,24.69213629461951
058F,direction_0,18,6.233167865200872,0.36665693324711013,11.957755654009073,14.130844343858337
058F,direction_1,24,8.12470240309504,0.35324793056934956,11.580565582951806,14.130844343858337
310,direction_0,21,5.644021428543352,0.28220107142716755,3.4405573489478436,4.824148078431983
310,direction_1,20,5.452146589494852,0.2869550836576238,3.4403850937935707,4.824148078431983
791,direction_0,29,10.99273124703801,0.3925975445370718,4.5730865127057045,8.133678609174721
791,direction_1,31,11.045743212849526,0.36819144042831764,4.643339723464663,8.133678609174721
303,direction_0,26,10.319390230725224,0.41277560922900897,11.841640491503817,12.467826422895126
303,direction_1,26,10.282726520173457,0.41130906080693835,11.82871545288176,12.433319349859783
490,direction_0,36,10.111356664282168,0.2888959046937762,2.9826534129174336,4.794695877890358
490,direction_1,39,10.533781837967503,0.2772047852096711,2.932961151862008,4.794695877890358
90,direction_0,17,9.585381168139659,0.5990863230087287,5.3984992030877,8.780955872891342
90,direction_1,17,9.42880368093745,0.5893002300585907,5.416899946134806,8.780955872891342
905,direction_0,37,13.113807526425624,0.3642724312896007,9.182820599821035,12.437630124896275
905,direction_1,38,13.1526985359308,0.35547833880894053,8.954352009701433,12.437630124896275
115,direction_0,29,6.156429647385615,0.21987248740662907,1.7027589793054627,2.0424178865791935
765,direction_0,28,10.066528691336893,0.3728343959754405,7.739321600730928,8.743202554208152
765,direction_1,31,10.667329591120641,0.3555776530373548,7.700833024453943,8.73457594688076
559,direction_0,38,11.21911467137063,0.3032193154424495,9.454643819935795,10.543663595480895
20,direction_0,15,6.841212825745399,0.48865805898181425,11.497655427488798,12.981323962118097
20,direction_1,24,11.142773272283318,0.48446840314275297,11.94612789426352,13.093578510977789
046,direction_0,35,10.745472275326726,0.31604330221549193,11.313696762668055,12.292571898142315
500,direction_0,19,6.738363703368646,0.37435353907603586,11.42207791171826,12.944944904939714
500,direction_1,18,6.665443477656836,0.3920849104504022,11.40009042500356,12.944944904939714
117,direction_0,33,9.322301102675349,0.29132190945860464,1.252409118876366,2.090538612188552
360,direction_0,29,7.551786999985968,0.2697066785709274,2.5377309768044,3.852612871673045
360,direction_1,28,7.3449549304703945,0.2720353677951999,2.518144728072056,3.852612871673045
772,direction_0,59,15.829705536247557,0.2729259575215096,7.838017041667702,8.90965203400271
071,direction_0,40,13.108534922598263,0.3361162800666222,11.945786240996048,12.524362237049631
04B,direction_0,33,8.350735675351128,0.2609604898547227,17.219379675727232,17.73851529431849
507,direction_0,33,12.521461000030817,0.391295656250963,12.93128080609583,14.279785654620927
507,direction_1,28,12.54669938777793,0.4646925699177011,13.113530462115602,14.30680528017992
201,direction_0,42,14.881026777812073,0.36295187262956274,10.263391408614439,16.642609419329983
201,direction_1,40,14.891492312209884,0.38183313621050996,10.592895946655187,16.630550563767706
338,direction_0,42,12.109874120875553,0.2953627834359891,8.646963068858062,12.016074036905302
338,direction_1,39,9.852397533548725,0.2592736193039138,8.28179518232378,11.489456445426976
705,direction_0,32,11.69102758863552,0.377129922214049,11.3922941786923,13.604756111330747
705,direction_1,19,7.942910862948383,0.4412728257193546,12.075357466315234,13.643533029556254
556,direction_0,38,11.190538644071257,0.3024469903803043,8.844470073201029,10.536900353373092
556,direction_1,36,10.771039726267118,0.3077439921790605,8.81728468444793,10.536900353373092
64,direction_0,15,4.507066795258819,0.32193334251848704,1.1599110585036234,2.254859624879941
64,direction_1,17,4.702008296817998,0.2938755185511249,1.222740750909749,2.242204174591864
52,direction_0,38,9.486566536438081,0.25639369017400226,2.1958894787745256,3.5209097987710365
247,direction_0,19,6.506554344049554,0.36147524133608633,4.351108727014212,7.434317649228541
247,direction_1,21,6.883416464131452,0.3441708232065726,4.711720161562802,7.729812316114608
93,direction_0,21,6.306265013743145,0.3153132506871572,8.249258371785471,9.98751814788254
93,direction_1,23,6.337452572876271,0.2880660260398305,8.422098682766963,10.124802268810123
448,direction_0,22,6.236677764691144,0.29698465546148306,4.605799257994125,5.712639508682634
05B,direction_0,31,6.184608955702207,0.20615363185674024,24.402552353779388,25.267186063421352
05B,direction_1,30,5.850869444130552,0.20175411876312244,24.27305611006938,25.15576047953029
309,direction_0,31,7.850799342037643,0.2616933114012548,6.7481841562070475,8.166293782453439
309,direction_1,34,7.848964838643659,0.23784741935283815,6.154219827734023,8.125847517567358
211F,direction_0,21,5.32136221594971,0.2660681107974855,6.009781978187384,6.489066037332443
211F,direction_1,20,5.013897187445923,0.26388932565504863,5.906750695732272,6.47001533072264
990,direction_0,42,10.089438539311995,0.24608386681248773,4.45128525905218,6.964541644771748
990,direction_1,35,9.101785290543328,0.2676995673689215,4.110958522732079,6.945093110751602
062,direction_0,27,9.696426375244172,0.3729394759709297,24.801159579579643,25.901134178309295
062,direction_1,33,10.037547858790395,0.3136733705871999,24.765560459709775,25.68317534323689
063,direction_0,51,11.532588499575544,0.23065176999151077,17.16321640730914,18.11759577787318
C9,direction_0,47,22.22746738236764,0.48320581266016605,15.413329958845834,25.472493665240446
C9,direction_1,41,21.858393774154006,0.5464598443538501,16.088699059324988,25.472493665240446
762,direction_0,51,11.435104244530377,0.2287020848906075,7.728135542741058,8.513586013083591
C3,direction_0,65,24.50357009909373,0.3828682827983394,4.297153973906354,13.690633367535078
C3,direction_1,82,27.3170633338616,0.33724769547977285,5.74893361625495,13.864937623588606
670,direction_0,55,12.33768821092602,0.22847570760974104,4.731348810736024,6.075821400048978
504,direction_0,37,14.577748398800003,0.40493745552222227,12.522223754567225,14.034805842320699
246,direction_0,18,9.041886992290747,0.5318757054288676,7.814846595953352,12.437630124896275
246,direction_1,18,8.990610646665539,0.5288594498038552,7.508296113160962,12.437630124896275
3BUS,direction_0,41,12.455721369391773,0.3113930342347943,2.400888683914998,3.135173752173992
3BUS,direction_1,42,12.44879371612083,0.3036291150273373,2.3575574072188874,3.1079204677591683
870,direction_0,34,7.750231935571961,0.2348555131991503,3.6509433729403526,6.414543564756743
870,direction_1,38,8.190220086328738,0.22135729963050643,3.5093679620583718,6.414543564756743
311,direction_0,37,9.053784464285581,0.2514940128968217,7.324668668262538,8.541493512104333
311,direction_1,42,10.561221919914681,0.2575907785345045,7.526281795952069,8.541493512104333
021,direction_0,18,4.587252342364341,0.2698383730802553,10.08475350595015,11.883719112160001
021,direction_1,16,4.291955165339713,0.2861303443559809,10.021872145753568,11.796485976269098
75,direction_0,25,7.6594282519138925,0.3191428438297455,1.7873340797538302,2.6839173570524593
75,direction_1,29,7.229304234304308,0.2581894369394396,1.7496402392260018,2.8411095382217013
88,direction_0,39,10.764988177815642,0.2832891625740958,5.679874250682999,8.775830998307777
88,direction_1,43,11.047058726089762,0.2630252077640419,5.723729142181274,8.775830998307777
446,direction_0,43,11.629473334126084,0.2768922222410972,5.767713958958799,6.832605500109225
446,direction_1,36,10.588021703732387,0.3025149058209254,5.719607597445204,6.794689121561711
916,direction_0,45,11.919876687611938,0.2709062883548168,4.610385549398641,7.524054510579647
916,direction_1,47,11.864758052763708,0.25792952288616755,4.381549679009616,7.524054510579647
